Batch,No,Param:max length,Param:max length,Param:max freq,Param:guest word count,All word count,Seed word,Seed word freq,Seed word len,Sum freq of the other words,Sum len of the other words,Freq factor,Count factor,Len factor,Difficulty,The other words
9,90,4,8,5500,8,14,england,344,7,37910,54,38254,112,378,1619521344,land;deal;lead;angel;anne;aged;angle;lane;dean;glad;dale;lang;lean
9,86,4,8,5500,8,14,possible,314,8,38614,53,38928,112,424,1848612864,less;loss;lies;lose;soil;sole;lips;slip;pole;slope;isle;boss;pile
9,81,4,8,5500,8,17,children,194,8,46975,68,47169,136,544,3489751296,line;held;child;rich;ride;nice;hide;inch;rice;hired;hire;idle;eric;lined;chin;henri
9,82,4,8,5500,8,23,american,227,8,37393,100,37620,184,800,5537664000,name;came;near;care;main;america;race;mean;remain;mine;crime;area;rain;nice;maria;marie;rice;maine;marine;earn;cream;eric
10,95,4,8,6000,9,9,mother,363,6,10182,34,10545,81,204,174245580,more;other;them;home;term;rome;hero;homer
10,98,4,8,6000,9,9,whether,374,7,8184,36,8558,81,252,174685896,were;there;where;three;here;tree;threw;thee
10,100,4,8,6000,9,10,nature,384,6,19881,36,20265,90,216,393951600,near;true;turn;rate;rent;earn;aunt;tune;tear
10,93,4,8,6000,9,13,father,355,6,21948,51,22303,117,306,798492006,after;heart;earth;rate;hear;fear;heat;hate;fate;hart;tear;fare
10,94,4,8,6000,9,13,position,358,8,27901,53,28259,117,424,1401872472,into;point;soon;points;post;stop;spot;tons;onto;poison;tops;tips
10,92,4,8,6000,9,11,although,354,8,39338,45,39692,99,360,1414622880,though;goal;hugh;laugh;ought;utah;oath;tough;hugo;halt
10,99,4,8,6000,9,15,himself,377,7,35898,62,36275,135,434,2125352250,life;miles;file;fish;lies;mile;files;self;smile;flesh;flies;isle;film;shelf
10,96,4,8,6000,9,17,friends,365,7,33428,70,33793,153,490,2533461210,side;find;friend;fire;fine;send;rise;ends;ride;finds;fired;dies;fred;fires;risen;dire
10,97,4,8,6000,9,17,certain,371,7,37854,68,38225,153,476,2783850300,near;care;rate;race;train;rain;nice;cent;rent;trace;rice;earn;retain;cart;tear;eric
10,91,4,8,6000,9,22,interest,347,8,52734,97,53081,198,776,8155789488,seen;sent;street;rest;site;tree;enter;entire;trees;rise;test;rent;stern;nest;tent;ties;tries;enters;risen;ernest;stir
11,107,5,9,6500,10,11,started,448,7,18928,51,19376,110,357,760895520,state;start;trade;stated;taste;dates;treat;tears;rates;reads
11,109,5,9,6500,10,10,provided,477,8,19851,49,20328,100,392,796857600,period;provide;drive;proved;prove;pride;drove;dried;pedro
11,120,5,9,6500,10,10,chapter,652,7,24151,46,24803,100,322,798656600,heart;earth;reach;teach;trace;cheap;patch;carpet;chart
11,115,5,9,6500,10,10,section,590,7,23854,48,24444,100,336,821318400,since;stone;notes;notice;noise;tones;cents;coins;notices
11,106,5,9,6500,10,10,character,444,9,18719,48,19163,100,432,827841600,rather;heart;earth;reach;catch;teach;trace;charter;chart
11,118,5,9,6500,10,10,created,630,7,39300,47,39930,100,329,1313697000,trade;create;trace;acted;cared;traced;erect;cedar;creed
11,104,5,9,6500,10,10,according,390,9,32715,49,33105,100,441,1459930500,grand;doing;grain;organ;cargo;organic;racing;accord;cairo
11,110,5,9,6500,10,12,question,482,8,33673,55,34155,120,440,1803384000,quite;stone;notes;noise;quiet;suite;tones;quote;quest;units;unite
11,117,5,9,6500,10,13,charles,628,7,34839,62,35467,130,434,2001048140,clear;search;share;reach;scale;races;acres;chase;crash;rachel;cares;clare
11,108,5,9,6500,10,14,agreement,465,9,25809,66,26274,140,594,2184945840,great;green;german;enter;range;meant;agree;grant;agent;anger;eager;eaten;genre
11,102,5,9,6500,10,13,important,320,9,34430,64,34750,130,576,2602080000,point;train;roman;print;martin;minor;piano;paint;import;ratio;patron;marion
11,112,5,9,6500,10,13,necessary,568,9,34837,64,35405,130,576,2651126400,years;sense;cases;scene;scenes;races;screen;acres;cease;essay;cares;scenery
11,111,5,9,6500,10,13,continued,487,9,34877,71,35364,130,639,2937687480,united;union;continue;notice;count;noted;noticed;counted;cited;intend;induce;unite
11,119,5,9,6500,10,15,distance,633,8,40092,75,40725,150,600,3665250000,since;instead;stand;ideas;dance;saint;aside;dates;acted;cents;cited;tends;stained;dances
11,101,5,9,6500,10,14,different,221,9,40145,74,40366,140,666,3763725840,friend;tried;enter;entire;fifteen;fired;tender;tired;differ;define;refined;freed;drift
11,113,5,9,6500,10,17,christian,573,9,48324,85,48897,170,765,6359054850,train;chair;christ;irish;china;saint;chain;strain;shirt;chairs;trains;chains;crash;chart;chris;ascii
11,116,5,9,6500,10,18,education,595,9,52853,96,53448,180,864,8312232960,united;action;notice;dance;count;noted;ocean;noticed;acted;counted;donate;acute;cited;canoe;caution;induce;unite
11,105,5,9,6500,10,20,personal,393,8,67307,100,67700,200,800,10832000000,person;reason;alone;learn;plans;opera;spare;orleans;opens;plane;arose;slope;naples;salon;prose;solar;poles;spear;panel
11,103,5,9,6500,10,25,something,372,9,45242,124,45614,250,1116,12726306000,those;times;night;might;things;months;month;thing;stone;eight;notes;smith;sight;noise;homes;nights;simon;honest;items;ghost;tones;mines;shine;monte
11,114,5,9,6500,10,33,president,578,9,89225,180,89803,330,1620,48008683800,present;peter;tried;enter;entire;spent;trees;needs;speed;print;desire;printed;spend;pride;despite;desert;priest;tender;spite;tired;strip;stern;tries;steep;enters;resident;dense;risen;ernest;prints;inserted;tends
12,124,5,10,7000,12,12,particular,495,10,27365,60,27860,144,600,2407104000,april;capital;trial;actual;apart;trail;rural;laura;partial;clara;altar
12,141,5,10,7000,12,13,production,941,10,23473,65,24414,156,650,2475579600,point;round;court;doctor;portion;print;count;product;proud;pound;topic;troop
12,129,5,10,7000,12,14,reading,659,7,41193,69,41852,168,483,3396038688,grand;garden;range;danger;gained;ridge;anger;grain;reign;grade;edgar;daring;drain
12,148,5,10,7000,12,14,statement,1070,9,35239,71,36309,168,639,3897843768,state;means;names;estate;meant;senate;taste;steam;meets;testament;eaten;teams;tents
12,139,5,10,7000,12,14,direction,906,9,32178,79,33084,168,711,3951817632,direct;tried;credit;notice;edition;noted;editor;noticed;doctrine;tired;indirect;cited;cried
12,134,5,10,7000,12,15,material,800,8,42550,72,43350,180,576,4494528000,later;trial;metal;trail;email;maria;marie;merit;alarm;alter;alert;realm;altar;martial
12,142,5,10,7000,12,14,increase,961,8,47534,69,48495,168,552,4497232320,since;scene;raise;races;easier;screen;acres;arise;cease;risen;cares;cries;sincere
12,150,5,10,7000,12,16,parties,1106,7,48979,77,50085,192,539,5183196480,parts;paris;raise;priest;praise;tears;rates;spare;spite;arise;strip;tries;pairs;spear;trips
12,133,5,10,7000,12,14,described,728,9,49051,73,49779,168,657,5494406904,desire;birds;desired;describe;decide;beside;bride;dried;breed;deeds;cried;creed;cries
12,131,5,10,7000,12,17,daughter,695,8,43243,84,43938,204,672,6023372544,great;death;heart;earth;trade;heard;guard;gather;thread;urged;grade;argued;argue;hatred;edgar;hated
12,127,5,10,7000,12,16,associated,619,10,40245,79,40864,192,790,6198251520,cases;coast;ideas;costs;sides;aside;sites;dates;seats;codes;acted;associate;isaac;cited;coats
12,121,5,10,7000,12,15,government,270,10,46605,76,46875,180,760,6412500000,never;green;enter;event;remove;remote;grove;vermont;nerve;negro;genre;govern;vernon;monte
12,149,5,10,7000,12,18,greatest,1081,8,40868,90,41949,216,720,6523908480,great;state;street;start;stage;trees;estate;agree;taste;treat;tears;gates;rates;eager;easter;target;agrees
12,138,5,10,7000,12,17,understand,897,10,41520,84,42417,204,840,7268577120,under;nature;turned;trade;stand;turns;dates;sudden;tears;nurse;rates;dated;stern;reads;tends;trades
12,126,5,10,7000,12,16,electronic,566,10,41704,92,42270,192,920,7466572800,enter;centre;entire;recent;notice;election;circle;center;electric;concert;elect;client;encore;celtic;erect
12,122,5,10,7000,12,15,themselves,463,10,55547,75,56010,180,750,7561350000,these;seems;steel;vessel;sheet;theme;meets;sheets;steve;heels;sleeve;themes;esteem;stems
12,136,5,10,7000,12,20,presented,862,9,52557,106,53419,240,954,12230814240,present;peter;entered;enter;spent;trees;needs;speed;spend;desert;tender;deeper;stern;steep;enters;dense;ernest;tends;pretend
12,147,5,10,7000,12,18,commercial,1060,10,60958,92,62018,216,920,12324216960,clear;claim;crime;circle;moral;email;marie;alice;cream;comic;memorial;realm;miracle;oracle;clare;cairo;carlo
12,137,5,10,7000,12,20,questions,889,9,61295,102,62184,240,918,13700378880,question;quite;stone;notes;issue;noise;quiet;sites;stones;suite;tones;sunset;quote;quest;suits;tissue;units;unite;quotes
12,145,5,10,7000,12,20,determined,1004,10,55694,114,56698,240,1140,15512572800,tried;entered;enter;entire;needed;indeed;ended;determine;denied;tender;edited;deemed;tired;merit;dried;reminded;termed;remind;tended
12,140,5,10,7000,12,20,university,916,10,77147,100,78063,240,1000,18735120000,visit;turns;entry;nurse;survey;virus;suite;virtue;unity;stern;tries;ruins;invite;risen;venus;units;unite;veins;virtues
12,130,5,10,7000,12,25,generally,663,9,54898,129,55561,300,1161,19351896300,general;large;early;green;really;legal;nearly;learn;energy;range;agree;gallery;largely;angel;angry;anger;allen;angle;eagle;ellen;eager;layer;genre;rally
12,132,5,10,7000,12,28,everything,700,10,48734,144,49434,336,1440,23918146560,their;there;three;every;right;never;given;night;either;green;thing;eight;trying;henry;enter;entire;event;energy;neither;entry;reign;tiger;nerve;genre;henri;eighty;therein
12,123,5,10,7000,12,27,especially,481,10,72179,144,72660,324,1440,33900249600,place;special;space;places;peace;piece;easily;pieces;calls;escape;sleep;please;plays;scale;alice;cells;spell;allies;cease;specially;asleep;silly;sally;lease;leslie;ellis
12,125,5,10,7000,12,27,considered,535,10,82961,145,83496,324,1450,39226420800,since;second;scene;needs;consider;indeed;ended;desire;score;noise;desired;decide;denied;codes;screen;senior;dried;dense;coins;deeds;encore;risen;cried;creed;cries;sincere
12,144,5,10,7000,12,29,characters,1001,10,82112,153,83113,348,1530,44252685720,rather;heart;character;earth;search;share;reach;catch;teach;hearts;tears;races;trace;rates;sarah;chest;acres;arrest;chase;crash;areas;charter;caesar;traces;chart;crest;scarce;cares
12,128,5,10,7000,12,29,washington,656,10,88583,155,89239,348,1550,48135516600,night;things;nothing;thing;shown;nation;nations;showing;wants;saint;sight;towns;wings;nights;giant;ghost;wanting;swing;owing;wagon;washing;gains;giants;watson;twins;waist;hints;twain
12,143,5,10,7000,12,34,increased,963,9,120458,179,121421,408,1611,79808566248,since;raised;scene;increase;ideas;needs;dance;desire;raise;aside;sacred;cards;races;easier;screen;acres;arise;earned;ceased;reads;cease;dense;risen;cried;cares;cared;dances;cedar;creed;scared;drain;cries;sincere
12,135,5,10,7000,12,41,countries,821,9,138276,217,139097,492,1953,1.33655E+11,since;course;court;section;stone;source;notes;store;notice;count;route;score;noise;turns;courts;outer;nurse;cousin;suite;senior;stern;tones;counter;cents;escort;tries;ruins;coins;curse;crest;risen;counts;units;routes;unite;notices;curtis;cries;cruise;scout
12,146,5,10,7000,12,52,relations,1047,9,159741,277,160788,624,2493,2.50127E+11,least;later;reason;lines;alone;stone;learn;train;notes;store;trial;latin;israel;saint;raise;relation;silent;noise;listen;trail;tears;rates;tales;orleans;arise;senator;strain;retain;stolen;senior;trials;stern;tones;alter;trains;arose;tries;steal;alert;lions;alien;sailor;salon;oriental;ratio;stole;risen;solar;nails;learnt;loans
13,173,5,11,7500,14,15,matters,1311,7,32995,74,34306,210,518,3731806680,state;terms;matter;start;master;stream;taste;treat;tears;steam;rates;smart;teams;treats
13,197,5,11,7500,14,15,strange,1561,7,39771,73,41332,210,511,4435336920,great;stage;range;grant;agent;agents;tears;gates;rates;anger;stern;ranges;grants;agnes
13,192,5,11,7500,14,14,thousands,1543,9,36235,71,37778,196,639,4731467832,south;sound;hands;stand;thousand;stands;sounds;susan;hosts;shots;hudson;shout;sands
13,174,5,11,7500,14,14,assistance,1314,10,42659,69,43973,196,690,5946908520,since;cases;saint;sites;assist;seats;santa;saints;cents;isaac;insects;satan;scent
13,157,5,11,7500,14,15,learning,1132,8,49114,74,50246,210,592,6246582720,large;learn;range;inner;angel;anger;grain;reign;angle;alien;annie;linen;earning;leaning
13,160,5,11,7500,14,15,separate,1145,8,50641,72,51786,210,576,6264034560,parts;peter;trees;apart;tears;rates;repeat;spare;areas;steep;easter;spear;peers;paste
13,183,5,11,7500,14,14,declared,1462,8,63655,74,65117,196,592,7555655744,clear;leader;elder;cleared;declare;ladder;cared;dealer;clare;cedar;creed;decade;cradle
13,182,5,11,7500,14,14,principles,1459,10,50301,76,51760,196,760,7710169600,since;lines;price;prince;principle;prices;princes;risen;pipes;pencil;inspire;cries;pines
13,166,5,11,7500,14,16,remained,1202,8,57854,82,59056,224,656,8677924864,named;remain;dream;armed;marie;maine;marine;earned;maiden;aimed;renamed;remind;drain;media;irene
13,167,5,11,7500,14,18,details,1216,7,55530,91,56746,252,637,9109094904,least;ideas;ladies;aside;leads;ideal;dates;detail;tales;listed;dealt;lasted;steal;deals;sailed;slide;ideals
13,179,5,11,7500,14,16,mountains,1417,9,51880,86,53297,224,774,9240420672,amount;mountain;nation;union;nations;saint;mount;simon;austin;mansion;mason;units;moist;unions;atoms
13,199,5,11,7500,14,15,association,1581,11,52239,77,53820,210,847,9572963400,action;coast;costs;saint;actions;santa;saints;consist;isaac;coins;ascii;satan;coats;insist
13,156,5,11,7500,14,16,protection,1121,10,50947,85,52068,224,850,9913747200,point;price;prince;notice;portion;print;protect;cotton;topic;cooper;rotten;troop;poetic;inter;prone
13,196,5,11,7500,14,17,application,1555,11,43837,91,45392,238,1001,10814099296,point;action;capital;captain;italian;plant;plain;latin;piano;paint;pilot;canal;topic;panic;appoint;capitol
13,162,5,11,7500,14,15,difference,1160,10,65568,79,66728,210,790,11070175200,friend;defence;fired;differ;fence;fierce;define;decree;refined;cried;freed;creed;irene;niece
13,190,5,11,7500,14,18,contained,1530,9,50411,96,51941,252,864,11309010048,action;nation;ancient;notice;dance;contain;noted;ocean;noticed;acted;donate;canon;cited;canoe;intend;annie;donna
13,165,5,11,7500,14,17,pictures,1199,8,67871,86,69070,238,688,11309798080,picture;price;priest;prices;spite;suite;strip;tries;upset;curse;crest;purse;curtis;cries;trips;cruise
13,185,5,11,7500,14,17,operation,1505,9,60854,88,62359,238,792,11754422064,point;train;portion;print;piano;paint;opera;parent;retain;painter;ratio;patron;troop;inter;pirate;prone
13,198,5,11,7500,14,18,christmas,1579,9,59729,90,61308,252,810,12514188960,march;chair;stars;smith;christ;match;smart;shirt;charm;chairs;crash;stairs;chart;chris;shirts;charms;marsh
13,152,5,11,7500,14,18,immediately,738,11,49168,92,49906,252,1012,12727227744,daily;limited;italy;immediate;metal;ideal;email;detail;delay;limit;yield;admit;dealt;emily;aimed;medal;media
13,158,5,11,7500,14,18,literature,1136,10,52389,95,53525,252,950,12813885000,later;letter;title;latter;trial;earlier;trail;treat;rural;retreat;alter;relate;alert;retire;ruler;trailer;utter
13,154,5,11,7500,14,18,development,832,11,52253,96,53085,252,1056,14126555520,moved;opened;event;model;noted;temple;loved;element;novel;develop;eleven;voted;depot;monte;envelope;demon;needle
13,200,5,11,7500,14,17,recognized,1588,10,67027,87,68615,238,870,14207421900,green;doing;region;dozen;recognize;ridge;reign;diego;negro;genre;encore;cried;creed;ignore;irene;niece
13,184,5,11,7500,14,20,remaining,1490,9,57902,108,59392,280,972,16164126720,german;remain;range;meaning;manner;image;inner;marie;imagine;anger;maine;grain;marine;reign;mining;margin;annie;earning;naming
13,177,5,11,7500,14,22,secretary,1380,9,74182,115,75562,308,1035,24087654360,years;secret;carry;trees;career;create;tears;races;trace;rates;acres;arrest;cease;traces;terrace;crest;easter;cares;erect;creates;terry
13,188,5,11,7500,14,24,software,1528,8,73694,120,75222,336,960,24263608320,after;water;wrote;forest;store;waters;waste;tower;worst;worse;tears;rates;faster;fears;towers;arose;feast;foster;straw;frost;swear;wears;sweat
13,178,5,11,7500,14,27,southern,1386,8,58113,137,59499,378,1096,24649721712,other;those;house;others;short;south;hours;north;horse;stone;notes;store;route;shore;turns;outer;nurse;honest;throne;hunter;stern;tones;hunters;shout;routes;horns
13,171,5,11,7500,14,23,interests,1290,9,73401,122,74691,322,1098,26407451196,interest;street;sense;series;enter;entire;sister;trees;streets;sites;stern;rises;tries;resist;enters;tests;risen;ernest;tents;rests;irene;inter
13,186,5,11,7500,14,23,supported,1507,9,73846,121,75353,322,1089,26423132274,support;purpose;posted;store;upper;stopped;route;sport;proud;outer;stored;ports;poets;drops;upset;prose;pedro;depot;purse;supper;poured;routes
13,151,5,11,7500,14,22,information,276,11,70449,122,70725,308,1342,29233188600,front;nation;train;roman;format;motion;martin;minor;formation;motor;notion;norman;infant;inform;antonio;ratio;faint;marion;morton;norton;manor
13,159,5,11,7500,14,24,expression,1138,10,90813,129,91951,336,1290,39855241440,person;sense;series;persons;express;press;prison;noise;response;roses;senior;opens;rises;prose;risen;essex;pioneer;expose;irene;spies;peers;prone;pines
13,175,5,11,7500,14,25,distributed,1317,11,84107,141,85424,350,1551,46372418400,tried;trust;birds;duties;studied;buried;tribe;tribes;distribute;suite;tired;bitter;tribute;burst;bride;trusted;butter;disturbed;tries;dried;suited;debts;utter;tubes
13,195,5,11,7500,14,26,represented,1553,11,81462,148,83015,364,1628,49194024880,present;peter;entered;enter;presented;spent;trees;needs;speed;spend;represent;desert;tender;deeper;stern;render;steep;enters;dense;ernest;tends;pretend;peers;rested;deepest
13,193,5,11,7500,14,30,certainly,1546,9,83256,157,84802,420,1413,50326594920,early;later;certain;clear;nearly;learn;train;italy;article;trial;central;latin;clean;reality;trail;entry;alice;trace;retain;alter;alert;layer;client;alien;lance;clare;learnt;inter;lyric
13,163,5,11,7500,14,31,articles,1164,8,98912,158,100076,434,1264,54899291776,least;later;clear;article;trial;israel;castle;raise;scale;trail;tears;alice;races;trace;rates;tales;acres;arise;trials;alter;tries;steal;alert;traces;crest;scarlet;cares;clare;cries;rails
13,168,5,11,7500,14,28,interested,1226,10,100137,156,101363,392,1560,61985501760,interest;street;tried;entered;enter;entire;trees;needs;desire;desert;tender;tired;stern;tries;enters;resident;dense;risen;ernest;tested;inserted;tends;tents;irene;inter;reside;rested
